Nr.|Sprecher/Regie|Text|Filmnr.
8|Regie|SMEAGOL and his cousin, DEAGOL, sit in a SMALL CORACLE, their FISHING LINES draped over the side SUNSHINE glinting off the surface of the water.|3
9|Regie|An idyllic image.|3
10|Regie|SUDDENLY DEAGOL's FISHING ROD BENDS under the weight of a LARGE FISH.|3
13|Regie|DEAGOL pulls on his ROD, but is HAULED OVERBOARD and disappears underwater with a SPLASH.|3
14|Regie|SMEAGOL leaning over the BOAT CONCERNED.|3
17|Regie|DEAGOL is towed to the RIVER BED by a LARGE FISH he suddenly lets go of the line eyes fixed on a SHINING GOLD RING, lying in 'the SILT.|3
21|Regie|DEAGOL climbs out of the WATER, onto the RIVER BANK.|3
22|Regie|the RING revealed in DEAGOL'S PALM.|3
23|Regie|SMEAGOL peers over his shoulder the GOLD reflects in SMEAGOL'S EYES.|3
24|Regie|The HUM of the RING growing LOUDER.|3
26|Regie|DEAGOL turns to look at him, a smirk on his face.|3
28|Regie|SMEAGOL moves towards DEAGOL.|3
30|Regie|SMEAGOL jumps on DEAGOL STRANGLING HIM. SMEAGOL rips the GLITTERING RING from DEAGOL'S LIMP HAND.|3
32|Regie|SMEAGOL slips the RING onto his FINGER and DISAPPEARS.|3
35|Regie|SMEAGOL descending into madness. His body TWISTS and DISTORTS he becomes a CREEPY, SHRIVELLED wretch finally crawling into a DARK CAVE beneath the MISTY MOUNTAINS.|3
38|Regie|GOLLUM in the CAVE staring at the RING in his hand.|3
43|Regie|A GRIM LANDSCAPE, covered in THORN BUSHES and the scars of RECENT FIRES. The DARK MORGUL VALLEY disappears up towards the MOUNTAINS.|3
44|Regie|FRODO and SAM in a FILTHY CULVERT. SAM twitches in a RESTLESS SLEEP. But FRODO is awake His hand trails down to the CHAIN around his NECK.|3
45|Regie|A SUDDEN HISS. FRODO quickly hides the RING as GOLLUM peers at them with GLEAMING EYES.|3
47|Regie|SAM STIRS, looks at FRODO.|3
49|Regie|FRODO shakes his HEAD.|3
56|Regie|The GROUND suddenly QUIVERS, as a ROLLING, RUMBLING NOISE ECHOES down the VALLEY.|3
60|Regie|SAM shoots GOLLUM a HOSTILE LOOK and turns back to rummage in his KNAPSACK. He holds up a piece of dried LEMBAS BREAD to FRODO.|3
68|Regie|FRODO looksa t SAM questioningly.|3
71|Regie|FRODO says nothing.|3
73|Regie|FRODO and SAM follow GOLLUM as he leads them on the wining, torturous path clambering through BRACKEN and over JAGGED ROCKS.|3
76|Regie|GANDALF leads ARAGORN, LEGOLAS, THEODEN and GIMLI through dark woodland.|3
77|Regie|The MOVING FOREST of FANGORN opens before them creating an AVENUE of TREES, which allows them access along the old ISENGARD ROAD. A THICK, HUMID MIST fills the forest.|3
79|Regie|The FOEST SEPARATES ahead, REVEALING the RUINS of ISENGARD.|3
81|Regie|All about, the GREAT STONE WALL is cracked and splintered into countless jagged shards.|3
86|Regie|TWO SMALL HOBBITS are sitting on the SMASHED WALL MERRY and PIPPIN. SPREAD before them is a feast of BREADS, MEATS and WINE. They PUFF on long pipes as they lie back in the SUN.|3
89|Regie|MERRY cuts PIPPIN off before he can respond in kind.|3
92|Regie|GANDALF, ARAGORN, LEGOLAS and GIMLI stare at the SIGHT before them.|3
100|Regie|GANDALF leads the company through the flotsam and jetsam which floats upon the muddied waters surrounding the TOWER TREEBEARD, the GIANT ENT, strides towards them, ALARMING all but GANDALF.|3
105|Regie|GANDALF stares up the long length of the DARK TOWER.|3
107|Regie|THE OLD ENT nods his head wisely.|3
109|Regie|PIPPIN, his eye caught by something lying in the WATER|3
110|Regie|The MUDDY waters GLOWING wit a golden light.|3
111|Regie|ARAGORN turns as, quick as a FLASH, PIPPIN has jumped off his ho rse an d pi cke d u p -- th e PA LAN TIR .|3
116|Regie|PIPPIN doesn't move, his eyes staring in wonder at the smooth black stone.|3
118|Regie|RELUCTANTLY, PIPPIN hands the PALANTIR to GANDALF who immediately smothers it in his cloak.|3
119|Regie|GANDALF looks back at PIPPIN troubled.|3
121|Regie|BACK SHOT - a GROUP OF RIDERS gallop towards the ROHAN CITY of EDORAS.|3
122|Regie|EOWYN standing alone outside the GOLDEN HALL, waiting.|3
125|Regie|A ROARING FIRE a LAMB ROASTING on SPI LONG TABLES laden with FOOD BARRELS of WINE a banquet is-laid ready for the returning soldiers.|3
127|Regie|Amidst the cheering crowd, EOWYN moves towards ARAGORN As she proffers the CHALICE their eyes meet.|3
133|Regie|EOWYN looks at her UNCLE, as THEODEN follows her gaze.|3
137|Regie|EOWYN looks at him questioningly, disturbed'by his tone.|3
139|Regie|EOWYN watches concerned as her UNCLE moves away.|3
140|Regie|MERRY and PIPPIN are in full voice, on top of one of the TABLES both hold very large mugs of ALE in their hands.|3
